,Acc Autocorr_BROADBAND,Acc Crosscorr MZ_BROADBAND,Acc Crosscorr DZ_BROADBAND,Acc Autocorr_DELTA,Acc Crosscorr MZ_DELTA,Acc Crosscorr DZ_DELTA,Acc Autocorr_THETA,Acc Crosscorr MZ_THETA,Acc Crosscorr DZ_THETA,Acc Autocorr_ALPHA,Acc Crosscorr MZ_ALPHA,Acc Crosscorr DZ_ALPHA,Acc Autocorr_BETA,Acc Crosscorr MZ_BETA,Acc Crosscorr DZ_BETA,Acc Autocorr_GAMMA,Acc Crosscorr MZ_GAMMA,Acc Crosscorr DZ_GAMMA,Acc Autocorr_HIGH GAMMA,Acc Crosscorr MZ_HIGH GAMMA,Acc Crosscorr DZ_HIGH GAMMA
361,0.775,0.5588235294117647,0.0,0.5625,0.2058823529411764,0.0,0.575,0.4411764705882353,0.1666666666666666,0.7375,0.3529411764705882,0.0,0.7625,0.4705882352941176,0.0,0.7625,0.3529411764705882,0.0,0.8375,0.1176470588235294,0.125
362,0.825,0.5882352941176471,0.0,0.5625,0.2058823529411764,0.0416666666666666,0.6125,0.4411764705882353,0.1666666666666666,0.7375,0.4117647058823529,0.0,0.7125,0.5294117647058824,0.0,0.7625,0.3529411764705882,0.0,0.825,0.1176470588235294,0.125
363,0.775,0.5588235294117647,0.0,0.575,0.1764705882352941,0.0416666666666666,0.6125,0.5294117647058824,0.1666666666666666,0.725,0.4117647058823529,0.0,0.7125,0.4705882352941176,0.0,0.75,0.3823529411764705,0.0,0.8375,0.1176470588235294,0.125
364,0.8,0.6470588235294118,0.0416666666666666,0.55,0.1764705882352941,0.0,0.625,0.5294117647058824,0.125,0.7125,0.3823529411764705,0.0,0.7375,0.5588235294117647,0.0416666666666666,0.7875,0.4411764705882353,0.0,0.85,0.1470588235294117,0.0833333333333333
365,0.8,0.5882352941176471,0.0,0.5625,0.1764705882352941,0.0416666666666666,0.575,0.5294117647058824,0.1666666666666666,0.7,0.3823529411764705,0.0,0.7125,0.5294117647058824,0.0,0.7625,0.3529411764705882,0.0,0.825,0.088235294117647,0.0833333333333333
366,0.8125,0.5882352941176471,0.0416666666666666,0.5625,0.1764705882352941,0.0,0.5875,0.4411764705882353,0.1666666666666666,0.75,0.3529411764705882,0.0,0.7,0.5,0.0,0.7625,0.3529411764705882,0.0,0.85,0.1470588235294117,0.125
367,0.8,0.6176470588235294,0.0,0.5625,0.1470588235294117,0.0416666666666666,0.6,0.5,0.0833333333333333,0.75,0.4117647058823529,0.0416666666666666,0.7375,0.5294117647058824,0.0,0.75,0.4117647058823529,0.0,0.8375,0.1470588235294117,0.125
368,0.8125,0.6470588235294118,0.0,0.5375,0.1764705882352941,0.0,0.6,0.4411764705882353,0.1666666666666666,0.7625,0.3823529411764705,0.0,0.7625,0.5882352941176471,0.0,0.75,0.3823529411764705,0.0,0.8375,0.1176470588235294,0.125
369,0.775,0.6470588235294118,0.0416666666666666,0.575,0.2058823529411764,0.0416666666666666,0.6375,0.5294117647058824,0.1666666666666666,0.725,0.4117647058823529,0.0,0.75,0.5588235294117647,0.0,0.75,0.3235294117647059,0.0,0.8625,0.1764705882352941,0.125
370,0.8,0.5882352941176471,0.0833333333333333,0.5625,0.1764705882352941,0.0,0.5875,0.4705882352941176,0.2083333333333333,0.725,0.4705882352941176,0.0,0.75,0.5294117647058824,0.0,0.7625,0.3823529411764705,0.0,0.85,0.1176470588235294,0.125
371,0.8,0.6176470588235294,0.0,0.5625,0.1764705882352941,0.0,0.5875,0.4117647058823529,0.1666666666666666,0.725,0.3235294117647059,0.0,0.7375,0.4705882352941176,0.0,0.7875,0.3529411764705882,0.0,0.8375,0.1470588235294117,0.0833333333333333
372,0.8125,0.6176470588235294,0.0,0.575,0.1764705882352941,0.0,0.6,0.5,0.1666666666666666,0.7375,0.3235294117647059,0.0,0.7125,0.5,0.0,0.775,0.3823529411764705,0.0,0.8625,0.1176470588235294,0.125
373,0.8125,0.6176470588235294,0.0,0.575,0.2058823529411764,0.0416666666666666,0.5875,0.4705882352941176,0.1666666666666666,0.7,0.3235294117647059,0.0,0.725,0.5,0.0,0.775,0.4117647058823529,0.0,0.85,0.1176470588235294,0.125
374,0.8125,0.6470588235294118,0.0,0.55,0.1470588235294117,0.0,0.575,0.4117647058823529,0.0833333333333333,0.75,0.4411764705882353,0.0,0.7,0.5588235294117647,0.0,0.7875,0.3529411764705882,0.0,0.8375,0.1470588235294117,0.0833333333333333
375,0.8,0.5588235294117647,0.0,0.5625,0.2058823529411764,0.0416666666666666,0.55,0.4117647058823529,0.1666666666666666,0.7125,0.3823529411764705,0.0,0.7125,0.5588235294117647,0.0,0.75,0.3235294117647059,0.0,0.8375,0.1470588235294117,0.0833333333333333
376,0.8,0.6470588235294118,0.0,0.575,0.2058823529411764,0.0,0.6,0.4705882352941176,0.1666666666666666,0.7375,0.3235294117647059,0.0,0.7125,0.5294117647058824,0.0,0.75,0.3235294117647059,0.0,0.825,0.088235294117647,0.0833333333333333
377,0.8,0.5882352941176471,0.0416666666666666,0.5625,0.1764705882352941,0.0,0.625,0.4705882352941176,0.1666666666666666,0.7375,0.3823529411764705,0.0,0.725,0.5294117647058824,0.0,0.7625,0.3823529411764705,0.0,0.825,0.1176470588235294,0.125
378,0.8,0.6176470588235294,0.0,0.575,0.2058823529411764,0.0,0.6125,0.5,0.1666666666666666,0.7375,0.3529411764705882,0.0416666666666666,0.725,0.5,0.0,0.7625,0.4117647058823529,0.0,0.85,0.1176470588235294,0.125
379,0.8,0.6176470588235294,0.0,0.55,0.2058823529411764,0.0,0.6,0.4705882352941176,0.2083333333333333,0.75,0.3823529411764705,0.0,0.7375,0.5294117647058824,0.0,0.7625,0.4117647058823529,0.0,0.875,0.1470588235294117,0.125
380,0.825,0.6470588235294118,0.0,0.5875,0.2058823529411764,0.0416666666666666,0.6125,0.5588235294117647,0.1666666666666666,0.7125,0.4411764705882353,0.0,0.75,0.5882352941176471,0.0,0.775,0.2941176470588235,0.0,0.825,0.1470588235294117,0.0833333333333333
381,0.775,0.5882352941176471,0.0,0.575,0.1764705882352941,0.0,0.6,0.5294117647058824,0.1666666666666666,0.725,0.3235294117647059,0.0,0.7125,0.5294117647058824,0.0,0.7875,0.4411764705882353,0.0,0.8375,0.1176470588235294,0.0833333333333333
382,0.8,0.6470588235294118,0.0416666666666666,0.55,0.1764705882352941,0.0,0.6125,0.5,0.1666666666666666,0.7125,0.3823529411764705,0.0,0.725,0.5294117647058824,0.0,0.7625,0.3529411764705882,0.0,0.8375,0.1176470588235294,0.125
383,0.775,0.5882352941176471,0.0416666666666666,0.5375,0.1470588235294117,0.0,0.575,0.4705882352941176,0.2083333333333333,0.725,0.5,0.0,0.7125,0.5,0.0,0.75,0.4117647058823529,0.0,0.8375,0.088235294117647,0.125
384,0.8,0.6176470588235294,0.0,0.5875,0.1764705882352941,0.0,0.5625,0.4117647058823529,0.0833333333333333,0.7125,0.3823529411764705,0.0,0.7625,0.5882352941176471,0.0,0.7875,0.4117647058823529,0.0,0.85,0.1764705882352941,0.1666666666666666
385,0.7875,0.6764705882352942,0.0,0.5375,0.1470588235294117,0.0,0.6125,0.5294117647058824,0.1666666666666666,0.725,0.4117647058823529,0.0,0.7,0.5,0.0,0.7875,0.3823529411764705,0.0,0.8625,0.2058823529411764,0.125
386,0.8,0.5882352941176471,0.0,0.575,0.1764705882352941,0.0,0.5875,0.5,0.1666666666666666,0.7375,0.3823529411764705,0.0,0.7125,0.5882352941176471,0.0,0.75,0.3529411764705882,0.0,0.85,0.1764705882352941,0.125
387,0.7875,0.5882352941176471,0.0416666666666666,0.55,0.1764705882352941,0.0,0.6375,0.5,0.125,0.725,0.3823529411764705,0.0,0.7375,0.5294117647058824,0.0,0.75,0.4117647058823529,0.0,0.8375,0.1176470588235294,0.125
388,0.825,0.6470588235294118,0.0416666666666666,0.55,0.2058823529411764,0.0,0.6,0.4705882352941176,0.1666666666666666,0.7,0.3235294117647059,0.0,0.725,0.5294117647058824,0.0,0.775,0.3823529411764705,0.0,0.8375,0.1764705882352941,0.125
389,0.7875,0.5588235294117647,0.0,0.575,0.1764705882352941,0.0,0.575,0.4411764705882353,0.1666666666666666,0.7375,0.3529411764705882,0.0,0.7125,0.4705882352941176,0.0416666666666666,0.7625,0.2941176470588235,0.0,0.85,0.1470588235294117,0.0833333333333333
390,0.8,0.5294117647058824,0.0,0.575,0.1764705882352941,0.0,0.6125,0.5,0.1666666666666666,0.725,0.3529411764705882,0.0,0.725,0.5294117647058824,0.0,0.775,0.4117647058823529,0.0,0.85,0.1764705882352941,0.125
391,0.7875,0.5882352941176471,0.0,0.575,0.2058823529411764,0.0416666666666666,0.6125,0.4705882352941176,0.1666666666666666,0.725,0.3529411764705882,0.0,0.7,0.5,0.0,0.75,0.4117647058823529,0.0,0.8375,0.1764705882352941,0.125
392,0.775,0.5588235294117647,0.0,0.5625,0.1764705882352941,0.0,0.6,0.5294117647058824,0.125,0.75,0.4411764705882353,0.0,0.725,0.5294117647058824,0.0,0.7625,0.4117647058823529,0.0,0.85,0.1764705882352941,0.125
393,0.7875,0.5882352941176471,0.0,0.575,0.1764705882352941,0.0,0.6,0.5,0.1666666666666666,0.75,0.4117647058823529,0.0,0.75,0.5,0.0,0.775,0.3529411764705882,0.0,0.825,0.1470588235294117,0.125
394,0.8,0.5882352941176471,0.0416666666666666,0.5625,0.2352941176470588,0.0,0.5875,0.4705882352941176,0.1666666666666666,0.7125,0.3823529411764705,0.0,0.6875,0.5294117647058824,0.0,0.7875,0.4117647058823529,0.0,0.8375,0.1470588235294117,0.125
395,0.8125,0.6176470588235294,0.0,0.575,0.2058823529411764,0.0,0.6,0.5294117647058824,0.1666666666666666,0.7375,0.3823529411764705,0.0,0.725,0.4705882352941176,0.0,0.75,0.3235294117647059,0.0,0.85,0.1176470588235294,0.0833333333333333
396,0.8,0.5294117647058824,0.0,0.5625,0.1764705882352941,0.0,0.6,0.4705882352941176,0.0833333333333333,0.725,0.4411764705882353,0.0,0.7,0.5,0.0,0.7625,0.3235294117647059,0.0,0.8375,0.1470588235294117,0.125
397,0.8125,0.6764705882352942,0.0,0.5625,0.1764705882352941,0.0,0.6125,0.4705882352941176,0.1666666666666666,0.75,0.3823529411764705,0.0,0.7,0.5294117647058824,0.0,0.7875,0.3529411764705882,0.0,0.8375,0.1176470588235294,0.125
398,0.7875,0.5882352941176471,0.0416666666666666,0.575,0.2058823529411764,0.0,0.5875,0.4411764705882353,0.1666666666666666,0.75,0.4117647058823529,0.0416666666666666,0.75,0.5882352941176471,0.0,0.7875,0.4117647058823529,0.0,0.8375,0.1764705882352941,0.125
399,0.8,0.6176470588235294,0.0416666666666666,0.575,0.2058823529411764,0.0,0.6,0.4705882352941176,0.1666666666666666,0.7125,0.4117647058823529,0.0,0.725,0.5294117647058824,0.0,0.7875,0.4117647058823529,0.0,0.8375,0.1470588235294117,0.125
400,0.7875,0.5882352941176471,0.0,0.575,0.2058823529411764,0.0,0.575,0.4411764705882353,0.125,0.7375,0.4705882352941176,0.0,0.7,0.5294117647058824,0.0,0.775,0.3823529411764705,0.0,0.85,0.1470588235294117,0.125
401,0.7875,0.5882352941176471,0.0,0.6125,0.2058823529411764,0.0,0.6,0.5,0.1666666666666666,0.75,0.4117647058823529,0.0,0.725,0.5882352941176471,0.0,0.7375,0.3823529411764705,0.0,0.85,0.2058823529411764,0.1666666666666666
402,0.8125,0.6176470588235294,0.0,0.55,0.2058823529411764,0.0,0.6,0.4705882352941176,0.1666666666666666,0.7375,0.4705882352941176,0.0416666666666666,0.7125,0.5294117647058824,0.0,0.7625,0.3823529411764705,0.0,0.8375,0.1764705882352941,0.125
403,0.8125,0.6176470588235294,0.0,0.55,0.1764705882352941,0.0,0.575,0.4705882352941176,0.0833333333333333,0.725,0.3823529411764705,0.0416666666666666,0.7125,0.5,0.0,0.7625,0.3529411764705882,0.0,0.8625,0.1764705882352941,0.125
404,0.8125,0.6176470588235294,0.0416666666666666,0.55,0.1764705882352941,0.0,0.575,0.4411764705882353,0.1666666666666666,0.7375,0.4117647058823529,0.0,0.725,0.5882352941176471,0.0,0.775,0.3235294117647059,0.0,0.85,0.1764705882352941,0.125
405,0.7875,0.6176470588235294,0.0,0.5875,0.2058823529411764,0.0,0.6125,0.5,0.1666666666666666,0.7625,0.3823529411764705,0.0,0.7375,0.5,0.0,0.7625,0.3529411764705882,0.0,0.8375,0.1176470588235294,0.0833333333333333
406,0.825,0.6470588235294118,0.0,0.5875,0.2058823529411764,0.0,0.5875,0.5,0.1666666666666666,0.7625,0.4411764705882353,0.0,0.7125,0.5294117647058824,0.0,0.775,0.3529411764705882,0.0,0.85,0.1764705882352941,0.125
407,0.8125,0.6176470588235294,0.0,0.575,0.1470588235294117,0.0,0.5875,0.4705882352941176,0.0833333333333333,0.7375,0.4117647058823529,0.0,0.75,0.5294117647058824,0.0,0.775,0.3529411764705882,0.0,0.825,0.1176470588235294,0.125
408,0.7875,0.6176470588235294,0.0416666666666666,0.55,0.1470588235294117,0.0,0.6375,0.5294117647058824,0.1666666666666666,0.7,0.3529411764705882,0.0,0.7625,0.5882352941176471,0.0,0.775,0.3235294117647059,0.0,0.8375,0.1470588235294117,0.125
409,0.8125,0.6176470588235294,0.0,0.5875,0.2058823529411764,0.0416666666666666,0.6,0.5,0.1666666666666666,0.7375,0.3823529411764705,0.0416666666666666,0.725,0.5588235294117647,0.0416666666666666,0.75,0.4117647058823529,0.0,0.8375,0.1764705882352941,0.125
410,0.7875,0.5294117647058824,0.0,0.5375,0.1470588235294117,0.0416666666666666,0.6,0.4705882352941176,0.1666666666666666,0.725,0.3529411764705882,0.0,0.725,0.5294117647058824,0.0,0.7625,0.3235294117647059,0.0,0.825,0.1470588235294117,0.125
411,0.8,0.5882352941176471,0.0,0.5875,0.2058823529411764,0.0,0.6375,0.5294117647058824,0.1666666666666666,0.7125,0.3823529411764705,0.0,0.7125,0.5294117647058824,0.0,0.7875,0.4117647058823529,0.0,0.825,0.088235294117647,0.125
412,0.8,0.5882352941176471,0.0,0.5375,0.1764705882352941,0.0,0.6125,0.5,0.1666666666666666,0.725,0.4411764705882353,0.0,0.7375,0.4705882352941176,0.0,0.75,0.3235294117647059,0.0,0.875,0.1470588235294117,0.125
413,0.8125,0.6764705882352942,0.0,0.5875,0.2058823529411764,0.0,0.6,0.5294117647058824,0.125,0.7125,0.3529411764705882,0.0,0.75,0.5882352941176471,0.0,0.775,0.3529411764705882,0.0,0.8375,0.1176470588235294,0.0833333333333333
414,0.7875,0.5882352941176471,0.0,0.5625,0.1764705882352941,0.0,0.6,0.4117647058823529,0.1666666666666666,0.7375,0.4117647058823529,0.0,0.75,0.5588235294117647,0.0,0.75,0.4117647058823529,0.0,0.825,0.1470588235294117,0.125
415,0.8,0.5882352941176471,0.0,0.5375,0.2058823529411764,0.0,0.6,0.4411764705882353,0.1666666666666666,0.7125,0.3529411764705882,0.0,0.7,0.5588235294117647,0.0,0.7625,0.4117647058823529,0.0,0.85,0.1470588235294117,0.125
416,0.775,0.5588235294117647,0.0,0.575,0.1764705882352941,0.0833333333333333,0.5875,0.4705882352941176,0.1666666666666666,0.7375,0.4411764705882353,0.0,0.7375,0.5294117647058824,0.0,0.75,0.3823529411764705,0.0,0.8375,0.1470588235294117,0.125
417,0.8,0.5882352941176471,0.0,0.5875,0.1764705882352941,0.0,0.5625,0.4117647058823529,0.1666666666666666,0.725,0.2941176470588235,0.0,0.7125,0.5294117647058824,0.0,0.75,0.3823529411764705,0.0,0.825,0.2352941176470588,0.125
418,0.8375,0.6470588235294118,0.0416666666666666,0.6125,0.2058823529411764,0.0,0.6125,0.4705882352941176,0.1666666666666666,0.725,0.3823529411764705,0.0,0.75,0.5882352941176471,0.0,0.7375,0.3235294117647059,0.0,0.8375,0.1470588235294117,0.0833333333333333
419,0.7875,0.6176470588235294,0.0,0.5625,0.1764705882352941,0.0,0.625,0.5294117647058824,0.125,0.725,0.2941176470588235,0.0,0.725,0.5294117647058824,0.0,0.775,0.4117647058823529,0.0,0.8375,0.1176470588235294,0.125
420,0.8,0.6176470588235294,0.0416666666666666,0.5625,0.2058823529411764,0.0,0.6,0.5,0.125,0.7375,0.3529411764705882,0.0,0.7,0.5294117647058824,0.0,0.7625,0.4117647058823529,0.0,0.85,0.1470588235294117,0.125
421,0.8125,0.6764705882352942,0.0416666666666666,0.5875,0.1764705882352941,0.0,0.6375,0.5294117647058824,0.1666666666666666,0.7375,0.3823529411764705,0.0,0.7125,0.5294117647058824,0.0,0.775,0.3235294117647059,0.0,0.825,0.1470588235294117,0.125
422,0.8,0.5882352941176471,0.0,0.5625,0.2058823529411764,0.0416666666666666,0.6125,0.4411764705882353,0.1666666666666666,0.7125,0.3529411764705882,0.0,0.7625,0.5882352941176471,0.0,0.7875,0.3823529411764705,0.0,0.85,0.1470588235294117,0.125
423,0.8125,0.6176470588235294,0.0416666666666666,0.6125,0.2058823529411764,0.0416666666666666,0.6,0.5588235294117647,0.1666666666666666,0.7375,0.4705882352941176,0.0,0.7125,0.5588235294117647,0.0,0.75,0.3235294117647059,0.0,0.8375,0.1764705882352941,0.1666666666666666
424,0.8,0.5882352941176471,0.0,0.5375,0.1470588235294117,0.0,0.6125,0.5,0.1666666666666666,0.7375,0.3823529411764705,0.0,0.725,0.5294117647058824,0.0,0.775,0.3823529411764705,0.0,0.825,0.088235294117647,0.0833333333333333
425,0.825,0.6764705882352942,0.0,0.5625,0.1764705882352941,0.0,0.6625,0.5294117647058824,0.1666666666666666,0.7375,0.4411764705882353,0.0,0.7,0.4411764705882353,0.0416666666666666,0.7625,0.3823529411764705,0.0,0.8375,0.1470588235294117,0.125
426,0.7875,0.5882352941176471,0.0,0.55,0.1470588235294117,0.0,0.5875,0.4117647058823529,0.1666666666666666,0.7375,0.3529411764705882,0.0,0.75,0.5882352941176471,0.0,0.7875,0.3823529411764705,0.0,0.85,0.1764705882352941,0.0833333333333333
427,0.775,0.5882352941176471,0.0416666666666666,0.5625,0.1470588235294117,0.0,0.5875,0.4705882352941176,0.1666666666666666,0.725,0.3823529411764705,0.0,0.7125,0.5,0.0,0.7625,0.3235294117647059,0.0,0.8625,0.1764705882352941,0.125
428,0.7875,0.5588235294117647,0.0,0.575,0.2058823529411764,0.0416666666666666,0.625,0.5,0.1666666666666666,0.7375,0.4117647058823529,0.0,0.7125,0.5294117647058824,0.0,0.7625,0.3529411764705882,0.0,0.8375,0.088235294117647,0.125
429,0.8,0.6470588235294118,0.0416666666666666,0.575,0.2058823529411764,0.0,0.625,0.4705882352941176,0.1666666666666666,0.725,0.3235294117647059,0.0,0.7375,0.5588235294117647,0.0,0.775,0.4117647058823529,0.0,0.85,0.1176470588235294,0.125
430,0.8,0.6470588235294118,0.0833333333333333,0.5625,0.2058823529411764,0.0416666666666666,0.575,0.4705882352941176,0.1666666666666666,0.775,0.4411764705882353,0.0,0.7125,0.5294117647058824,0.0,0.8,0.3823529411764705,0.0,0.85,0.1176470588235294,0.125
431,0.8,0.5588235294117647,0.0,0.55,0.2058823529411764,0.0,0.625,0.5,0.1666666666666666,0.7,0.3235294117647059,0.0,0.7125,0.4705882352941176,0.0,0.775,0.4117647058823529,0.0,0.825,0.088235294117647,0.125
432,0.7875,0.6176470588235294,0.0,0.5625,0.2058823529411764,0.0,0.6,0.4705882352941176,0.1666666666666666,0.7375,0.3529411764705882,0.0,0.7,0.5294117647058824,0.0,0.75,0.3823529411764705,0.0,0.825,0.2058823529411764,0.0833333333333333
433,0.7875,0.6470588235294118,0.0416666666666666,0.5625,0.1764705882352941,0.0,0.6375,0.5294117647058824,0.0833333333333333,0.7375,0.3235294117647059,0.0,0.7125,0.5,0.0,0.775,0.3823529411764705,0.0,0.825,0.1470588235294117,0.125
434,0.8,0.5882352941176471,0.0,0.55,0.1764705882352941,0.0,0.5875,0.5,0.125,0.725,0.3823529411764705,0.0,0.7125,0.5,0.0,0.7625,0.3529411764705882,0.0,0.85,0.1470588235294117,0.125
435,0.7875,0.5882352941176471,0.0,0.575,0.2058823529411764,0.0,0.5875,0.4411764705882353,0.1666666666666666,0.7375,0.4411764705882353,0.0,0.7625,0.5,0.0416666666666666,0.8,0.3823529411764705,0.0,0.8375,0.1764705882352941,0.125
436,0.7875,0.5588235294117647,0.0,0.5625,0.2058823529411764,0.0,0.5625,0.4117647058823529,0.0833333333333333,0.7125,0.3529411764705882,0.0,0.725,0.5294117647058824,0.0,0.7375,0.4117647058823529,0.0,0.8375,0.1764705882352941,0.125
437,0.8125,0.6176470588235294,0.0,0.5625,0.1764705882352941,0.0,0.575,0.4117647058823529,0.125,0.7125,0.3529411764705882,0.0,0.7125,0.5588235294117647,0.0,0.75,0.3235294117647059,0.0,0.825,0.1176470588235294,0.0833333333333333
438,0.8125,0.6176470588235294,0.0416666666666666,0.575,0.1764705882352941,0.0,0.6,0.5294117647058824,0.1666666666666666,0.7375,0.3235294117647059,0.0,0.7375,0.5294117647058824,0.0,0.8125,0.4411764705882353,0.0,0.85,0.1764705882352941,0.125
439,0.7875,0.5882352941176471,0.0,0.5625,0.2058823529411764,0.0,0.625,0.5294117647058824,0.1666666666666666,0.7375,0.4411764705882353,0.0,0.7,0.5882352941176471,0.0,0.7625,0.4117647058823529,0.0,0.8375,0.1176470588235294,0.0833333333333333
440,0.7875,0.5882352941176471,0.0,0.5625,0.2352941176470588,0.0,0.6625,0.5294117647058824,0.1666666666666666,0.725,0.4411764705882353,0.0,0.6875,0.5,0.0,0.75,0.4117647058823529,0.0,0.8375,0.1176470588235294,0.125
441,0.8125,0.6470588235294118,0.0,0.575,0.2058823529411764,0.0,0.6375,0.5294117647058824,0.1666666666666666,0.75,0.4117647058823529,0.0,0.7125,0.5,0.0,0.8,0.3529411764705882,0.0,0.825,0.1176470588235294,0.125
442,0.825,0.6470588235294118,0.0416666666666666,0.55,0.1764705882352941,0.0,0.5875,0.5,0.1666666666666666,0.7375,0.3529411764705882,0.0,0.7375,0.5882352941176471,0.0,0.7625,0.3823529411764705,0.0,0.8375,0.1176470588235294,0.125
443,0.8125,0.5882352941176471,0.0,0.55,0.1764705882352941,0.0,0.625,0.5294117647058824,0.1666666666666666,0.7375,0.3235294117647059,0.0,0.75,0.5294117647058824,0.0,0.7625,0.4117647058823529,0.0,0.825,0.1470588235294117,0.125
444,0.7875,0.5882352941176471,0.0,0.5625,0.2352941176470588,0.0,0.6125,0.4411764705882353,0.1666666666666666,0.7625,0.4117647058823529,0.0,0.75,0.5588235294117647,0.0,0.775,0.4117647058823529,0.0,0.825,0.1176470588235294,0.125
445,0.8,0.5882352941176471,0.0,0.575,0.1764705882352941,0.0,0.6,0.5,0.1666666666666666,0.725,0.3529411764705882,0.0,0.7125,0.4705882352941176,0.0416666666666666,0.775,0.3823529411764705,0.0,0.8625,0.1470588235294117,0.125
446,0.8,0.6176470588235294,0.0,0.55,0.1764705882352941,0.0416666666666666,0.6375,0.5294117647058824,0.125,0.75,0.4117647058823529,0.0,0.7375,0.4705882352941176,0.0,0.7625,0.3529411764705882,0.0,0.85,0.1470588235294117,0.125
447,0.8,0.5882352941176471,0.0416666666666666,0.575,0.2058823529411764,0.0,0.6,0.4411764705882353,0.125,0.7125,0.3823529411764705,0.0,0.775,0.5882352941176471,0.0,0.7375,0.3529411764705882,0.0,0.85,0.1764705882352941,0.125
448,0.825,0.5882352941176471,0.0416666666666666,0.5875,0.2058823529411764,0.0416666666666666,0.575,0.4705882352941176,0.1666666666666666,0.75,0.4117647058823529,0.0,0.725,0.5882352941176471,0.0,0.7625,0.3529411764705882,0.0,0.85,0.1470588235294117,0.125
449,0.7875,0.5588235294117647,0.0,0.55,0.1764705882352941,0.0,0.6375,0.5294117647058824,0.1666666666666666,0.725,0.4117647058823529,0.0,0.7625,0.5294117647058824,0.0,0.7625,0.3823529411764705,0.0,0.8375,0.1470588235294117,0.125
450,0.7875,0.5882352941176471,0.0416666666666666,0.5375,0.2352941176470588,0.0,0.6,0.5,0.1666666666666666,0.7125,0.3529411764705882,0.0,0.7125,0.4411764705882353,0.0416666666666666,0.75,0.3235294117647059,0.0,0.85,0.1470588235294117,0.125
451,0.7875,0.6176470588235294,0.0416666666666666,0.55,0.1470588235294117,0.0416666666666666,0.5875,0.5,0.125,0.725,0.3529411764705882,0.0,0.7,0.5,0.0,0.7625,0.3823529411764705,0.0,0.8625,0.1764705882352941,0.125
452,0.8,0.6176470588235294,0.0416666666666666,0.5875,0.2058823529411764,0.0833333333333333,0.625,0.4411764705882353,0.1666666666666666,0.75,0.3529411764705882,0.0,0.75,0.5294117647058824,0.0,0.775,0.3823529411764705,0.0,0.85,0.1176470588235294,0.0833333333333333
